,0
0,"SKT ""AI로 옛 사진 고화질 업그레이드 해드려요"""
1,"SKT, AI로 옛사진 되살리다..5GX 마법사진관 공개"
2,"SKT-MS, 손잡고 IoT‧AI경쟁력 강화"
3,"SKT-서울시, 5G·AI로 완전자율주행 환경 구축한다"
4,"SKT, AI스피커에 '화면' 달았다..'누구 네모' 출시"
5,"추억의 사진, SKT AI 슈퍼노바 기술로 선명해진다"
6,"SKT, AI 기술로 옛 사진도 생생하게"
7,"SKT, AI 서비스에 감성 더할 콘텐츠 지원 공모 우수작 선정"
8,"SKT, AI로 임시정부 단체사진 고화질 복원"
9,"MS·SKT, 5G·AI·클라우드 포괄적 협략 강화"
10,"서울시-SKT, 5G·AI로 완전자율주행 시대 앞당긴다"
11,"서울시-SKT, 5G, AI 첨단기술 활용한 '실시간 초정밀도로지도' 공동..."
12,"'착한기업'이 대세..SKT, AI스피커로 독거 노인 외로움 달랜다"
13,"SKT “AI 스피커, 외로운 독거노인에 말벗”...‘ICT 돌범 서비스’..."
14,"SKT, AI 디스플레이 스피커 시장 출사표…키즈 콘텐츠 ‘한가득’"
15,"SKT-MS, 5G·AI·클라우드 공조..호 사장 ""게임 체인저 될 것"""
16,"SKT, AI 스피커로 독거 어르신 돌봄 시작"
17,'SKT 누구·MS 코타나' 만난다..전방위 AI·클라우드 '맞손'
18,"SKT·MS, 수장 손잡았다..""5G, AI, 클라우드 포괄적 협력"""
19,"'안전하게 빨라지는 버스' SKT-서울시, 5G와 AI로 완전자율주행 앞당겨"
20,"SKT, AI스피커 무료 음성통화 '누구 콜' 출시"
21," SKT ""AI플랫폼 '누구', 삼성·LG와 직접제휴 추진"""
22,"‘누구’와 ‘코타나’의 만남...SKT·MS, 클라우드·AI 기술협력 MOU"
23,"MS-SKT, 5G·AI·클라우드 결합한 신규 사업기회 발굴 ‘맞손’"
24,"말하고 눈으로 보는 SKT AI 스피커…""첫 공략은 키즈"""
25,"""7인치 디스플레이 탑재"" SKT, AI스피커 '누구 네모' 출시"
26,"디스플레이 장착한 SKT AI 스피커 '누구네모', 영상통화-화면연동은..."
27,"SKT, AI 디스플레이 스피커 '누구 네모' 출시…가격 19만9000원"
28,"2m 떨어진 목소리 들려..SKT, AI스피커로 전화거는 누구콜 출시"
29,"SKT-MS, 5G‧AI‧클라우드 등 ICT 분야 협력 위해 맞손"
30,"SKT, 화면탑재 AI 스피커 '누구 네모'..어린이 공략"
31,"SKT-MS, 5G·AI 등 첨단 ICT 분야 상품·서비스 개발 MOU"
32," SKT, 연내 '누구' AI 플랫폼 확산..시즌 2.0 연다"
33,"""AI스피커 '누구'가 독거노인 친구""..SKT, ICT 사회복지 펼친다"
34,"SKT, 국내 최초 보이는 AI스피커 ‘누구 네모’ 출시"
35,"""AI 스피커의 진화""..SKT. '보이는 AI 스피커' 출시"
36,'보는' 지니·아리아..이통 'AI스피커 2차대전'
37,"SKT, 독거노인 2,100명에 AI스피커..ICT 돌봄 나선다"
38,"호 SKT 사장 ""'누구 AI'로 사회안전망 구축"""
39,"SKT·MS, 첨단 ICT 분야 협력 강화 MOU 체결... 다양한 사업 기회 ..."
40,SKT 인공지능 스피커 '누구'와 MS '코타나' 합친 서비스 나온다..SK...
41,화면터치로도 제어..SKT '보이는 AI 스피커' 눈길
42,"SKT ""보이는 AI스피커-Btv 결합상품, 하반기 출시"""
43,"'5G∙AI로 완전자율주행 시대 앞당긴다'.....SKT-서울시, HD맵 실시..."
44,"SKT, 보이는 AI 스피커 '누구 네모' 선보여"
45,"연일 미세먼지 창궐에 ""날씨 앱 다운로드 수 2년 만에 55.6%↑"""
46,"SKT,  아시아 어워드 7개 부분 최다 수상"
47,"인천경제청, 28일 ‘스마트시티 국제심포지엄’ 개최"
48,"SKT·서울시, 하반기 대중교통에 5G 기술 세계 첫 적용"
49,"SKT, '모빌리티·AI' 박차 ..""세계 1위 클라우드업체가 러브콜"""
50," '보이는' AI 스피커 경쟁..KT ""SKT와 차별점은 IPTV"""
51,"“카드 혜택 알려줘”…농협카드-SKT, AI 기반 카드 서비스 MOU"
52,"SKT-서울시, 5G+대중교통 협약.. 버스·택시 1700대에 5G ADAS 장착"
53,SKT 이어 KT도 ‘보이는 AI 스피커’ 출시… 이통3사 경쟁 본격화
54,SKT 음악 플랫폼 '플로' 무서운 성장
55,"SK, 서울시와 5G·AI로 완전자율주행 시대 앞당긴다"
56," SKT, 학습도우미 AI스피커 '누구 네모' 출시"
57,"""음원 1곡 분석에 3초""..AI 추천음악의 비밀"
58,SKT 'AI 미디어 추천 기술' GSMA 수상
59,"SK-마이크로소프트, 첨단 ICT 분야 포괄적 협력 약속"
60,"SKT, 보이는 AI 스피커 '누구 네모' 출시..핑크퐁 놀이학습 5종 제공"
61,글로벌IT에 귀한 대접 받는 '韓 5G 기술'
62,"SKT, AI기반 미디어 품질개선 솔루션 '슈퍼노바' MWC서 공개"
63,서울 시내버스·택시..'SKT 5G' 타고 똑똑해진다
64," 김윤 SKT AI센터장 ""韓 AI 인력부족..역량 초집중해야"""
65,"SKT, 자율주행 대중교통 시대 앞당긴다"
66,"SKT, 디스플레이형 AI스피커 ‘누구 네모’ 출시"
67,"팟캐스트 '팟프리카', SKT AI 플랫폼 '누구'에서 듣는다"
68,보험업계 IoT·AI 이용 인슈어테크 활발.. 맞춤형 보험 나오나
69,"서울시-SKT, 자율주행 필수 인프라 공동 개발"
70, SKT·MS 인공지능·5G 사업 협력키로
71,"""보이는 AI 스피커가 떴다""..SKT, '누구 네모' 출시"
72,"서울시·SKT ""서울을 '5G 모빌리티 허브'로 만들겠다"""
73,"SKT, 국내 이통사 중 유일 ‘Telecom Asia Awards’ 7개 부문 수상"
74,디스플레이 달린 AI 스피커 SKT '누구 네모' 29일 출시
75,"SKT, 아시아 '최우수 이통사' 선정"
76,"SKT, 화면 달린 AI 스피커 '누구 네모' 출시"
77,"SKT, 아시아 유력 ICT 어워드서 7개 부문 수상"
78,"SKT, ‘2019 누구 플레이 개발 공모전’ 수상자 선정"
79,"SKT, 홀몸어르신 ‘AI 스피커’ 돌본다…사회적 가치 창출 잰걸음"
80,SKT sweeps 7 awards at Telecom Asia Awards 2019 for 5G technolo...
81,"SKT-서울시, 자율주행 위한 정밀도로지도 기술 개발  실증 협약 체결"
82,"SKT,  아시아 어워드 '최우수 이통사' 선정"
83,"‘앵그리버드를 AR로’ SKT, 5G-AI-IoT 활용 콘텐츠 공개"
84,SKT AI스피커 '누구'에서 '아프리카TV 팟캐스트' 듣는다
85,"SKT·서울시, 자율주행인프라 '실시간 초정밀도로지도' 공동개발"
86,"SKT, 독거노인 2100명에 AI스피커 보급..ICT 돌봄 지원(종합)"
87,"SKT 보이는 AI 스피커, 스마트홈·영상 통화 기능은 아직···"
88,"SKT,  아시아 어워드 7개 부문 수상"
89,"서울시-SKT, 자율주행 필수 인프라 '실시간 초정밀도로지도' 공동개발"
