,0
0," AI 기술, 불법 웹툰 운영자 검거에 일조"
1,"카카오-, AI B2B시장서 '닥공'"
2," ""AI 비서 '클로바', 대화 맥 끊는 문제 해결"""
3,"車부터 아파트까지..카카오-, AI 기업시장서 격전"
4,", AI 비서 클로바 지능향상 위해…AI스피커 맥락 이해·반응 ..."
5,", '클로바 AI' 앞세워 'ICLR'서 기술력 입증"
6,", 국제 AI 콘퍼런스 'ICLR' 3년 연속 참석"
7,"프랑스서 온 AI연구원 부부 "" 기술력 뛰어나..데이터선 구글..."
8,", 세계 최고 딥러닝 컨퍼런스 'ICLR 2019'에서 AI 경쟁력 과시"
9," AI통번역 '파파고', 월간 사용자 1000만 돌파"
10," ""AI 기술로 사회적 약자 돕겠다"""
11,", ICLR서 AI·딥러닝 논문 4건 발표"
12," AI 통·번역  '파파고', 월 이용자 1천만명 넘어"
13,", AI 스피커 클로바 활용한 아동 콘텐츠 확대"
14,", 글로벌 컨퍼런스서 AI연구성과 공개"
15,'하계 인턴' 모집 나선 IT·게임업계..·웹툰·라인·...
16,"LG전자, 홈 로봇 ‘LG 클로이' 16일 출시... AI 탑재"
17," ""AI로 기존 콘텐츠 가치 증대""..AI 콜로키움 개최"
18,KB금융· AI 사업제휴
19," ""AI 뉴스추천, 페이지뷰 70% 증가"""
20,", AI 콜로키움 2019 개최..AI 기술 개발 생태계 더욱 강화"
21," ""AI로 콘텐츠 소비 ↑, 개인화 검색 더 확대"""
22,KB금융- AI협력 업무협약..AI금융스피커 개발나서
23, AI 검색·콘텐츠 적용하니..이용자 소비량 '쑥쑥'
24,", AI 콜로키움 2019 개최..370여명 AI 분야 교수·대학원생 모여"
25,쿠팡 잠재력이 클까 의 아우라가 클까
26," ""AI 뉴스 편집 후 조회 수 69% 증가"""
27," ""AI 추천기술로 트래픽 늘어..문자인식은 구글 앞서"""
28,"AI 통·번역의 진화.. 음성 통역, 이미지·챗봇 번역까지 다양"
29,AI 찾아 나선 금융권.. 와 밀착
30,", ' AI 콜로키움 2019' 개최"
31,"LG유플러스·, AI와 IoT로 장애인 생활편의 높인다"
32,", AI 연구자 대상 'NAVER AI 콜로키움' 개최"
33,", 로보틱스·AI기술 스타트업 투자"
34,"IT·게임사 ""여름방학 인턴십 도전하세요"""
35,"·카카오, 차세대 동력으로 AI 사업 육성"
36,", ‘AI 콜로키움 2019’ 개최…다양한 AI 기술 주제 논의"
37,", AI 활용한 맛집·쇼핑 제안 도입"
38,국내외 AI 개발자 한자리에.. 내달 ' AI 콜로키움'
39,", AI 콜로키움 2019 개최…AI 기술ㆍ실제  적용 노하우..."
40," ""AI 도입으로 방문자 69% 늘어... 전반 확대"""
41,", LGU+와 손잡고 새 AI 스피커 내놓는다"
42,"AI 코리아 어벤저스, 美·러·캐나다·인도까지 세계 곳곳서 뛴다"
43,한국 AI를 움직이는 손은 구글·알리바바
44,LG유플선  AI스피커..인수 'CJ헬로'는 카카오와 손잡아(종합)
45,"'기술·노하우 공유'  AI 콜로키움, 다음 달 5일 개최"
46,"잘 때면 떠들고, 말귀는 어둡고..""AI스피커, '눈치' 더 키워야"""
47," 모바일, AI 검색 '그린닷'전면에.. 뉴스는 왼쪽으로 밀어야"
48,"KB금융, 와 'AI프로젝트' 협업"
49,"""부모 목소리로 동화 읽어준다""..AI 기기 새 킬러콘텐츠는 '키즈'"
50, KB금융그룹 '금융 인프라'와  'AI 플랫폼'이 ...
51,"""내 마음도 해석해줘""..AI 통번역 경쟁 후끈"
52,바이두 8만배 급성장..AI스피커 美·中대결
53, “AI 기반 알고리즘 적용 1년 만에 조회수 69% 증가”
54," ""뉴스판 AI적용, 페이지뷰 69% 증가"""
55,"토종 클라우드 투톱, KT- 전략 차이는?"
56,"""AI는  글로벌 경쟁력 원천"".. 'AI 콜로키움 2019' 개최"
57, '2019  AI 콜로키움'
58,"동아대, AI분야 '슈퍼인재' 김성훈(성킴) 교수 초청 24일 특강"
59,", 딥러닝 콘퍼런스 'ICLR 2019'서 클로바 기술 뽐내"
60," "" 전반 AI 적용..생태계 확장"""
61, 말로만 하니? 나는 본다 AI스피커의 진화
62,", AI 연구자 대상 ‘NAVER AI 콜로키움’ 개최"
63,", 내달 5일 ‘ AI 콜로키움’ 개최"
64,"LG유플러스, 디스플레이 탑재 AI스피커 'U+AI_어벤져스' 출시"
65,", AI 연구자 대상 ‘AI 콜로키움’ 개최"
66,"루나소프트,  투자 유치 성공해 눈길.. 어떤 기업일까"
67," D2SF, 로보틱스·AI 기술 스타트업에 투자"
68,"'AI'가 추천한  뉴스, 당신은 어떻게 보십니까"
69,"우리銀- 라인, AI 협업"
70,", AI 연구자 대상 '콜로키움' 개최"
71,"KB금융, 와 금융 AI 비즈니스 사업제휴"
72,", 딥러닝 컨퍼런스 'ICLR 2019'서 연구 성과 공개"
73,"우리은행- 라인, AI 기술 협업 추진"
74,", 로봇·AI 스타트업에 투자한다"
75,", 로보틱스  AI 기술 스타트업 '클로봇'·'모니터'에 투자"
76,"우리銀- 라인, AI기술 협업 위한 MOU"
77,"KB금융그룹-, 함께 '금융 AI스피커' 만든다"
78," ""뉴스페이지, AI 편집 후 조회수 69% 증가"""
79,"KB금융·, 금융 AI 비즈니스 사업제휴..KB 금융스피커 등 개..."
