,0
0," , ‘IT개발자 자살’ 뒤에 숨겨진 불편한 민낯"
1,"은행 시스템 첨단화 뒤엔, IT 개발자 '죽음의 그림자'"
2,"QR결제, 30·40대가 즐겨쓴다..  고객 소비패턴 분석"
3, 하청에 재하청으로 책임 떠넘기기 논란
4," 넥슨지티(주), (주)GS리테일, (주)LG CNS,..."
5," 드론부터 금융퀴즈까지, 국내 첫 핀테크 축제 가보니"
6,"정부, KT· 등 10개 빅데이터 센터 구축 컨소시엄 선정"
7,"KT넥스알, 5G 빅데이터 사업 본격화..'콘스탄틴' 하반기 출격"
8," ""핀테크 회사 취업, 이렇게만 하세요"""
9,"""반값 결제에 적립금 추가요""..○○페이 100% 활용법"
10," , 2019년 상반기 채용전환형 인턴 채용"
11," 판교테크노밸리 ""워라밸이 지켜지니 ..."
12,"혁신금융 선도하는 핀테크업체, 제2의 '토스' 나올까"
13," 하이텔주식회사, 한국석유공사, (주..."
14,"KT넥스알 대표 ""연내 新빅데이터 플랫폼 출시...최고될 것"""
15, 네이버페이 해외서도 결제된다
16, Big data means big money
17, KT-첨단 통신기술 접목 구단 운영
18,"카이스트(KAIST) 경영대학, 2020학년도 MBA·MS 찾아가는 입학설명..."
19,"QR코드의 진화, 어디까지?"
20,"코엑스, 박람회 ‘자카르타 국제프리미엄소비재전(JIPREMIUM 2019)..."
21,-만디리은행 인니 합작법인 해체..인니 정부가 '제동'
22,Card firms turning to AI chatbots
23," ④ 전길수 금감원 IT·핀테크 국장 ""혁신과 금..."
24," ""면접의 철칙…리스닝이 최우선"""
25,홍대 가볼만한곳 아닌 가봐야만 하는 곳 '라인프렌즈 vs 카카오프렌즈'
26,"제13회 대구국제뮤지컬페스티벌(DIMF) … 한국과 세계의 뮤지컬, 올..."
27,"과기정통부, 빅데이터 플랫폼·센터 구축에 3년간 1516억원 투입"
28,"제13회 DIMF, 개막작 '웨딩 싱어'부터 전 작품 공개"
29, 해외실적 씁쓸…중국법인 10년간 20억 들여 7억도 못 벌어
30,기회 찾아 해외로.. 동남아에 깃발 꽂는 사
31,"BC, Union Pay launch QR app for tourists to China"
32,"위기의 사, 해외시장 진출 잰걸음"
33,"한양대 MBA, 140여개 실무강의로 '넓고 깊게'..글로벌 기업 취업통로"
34," 껐다 켜는 보험, 신재생에너지 우대금리..소비자에..."
35,"사 해외진출 성적 ""적자지만 기대 높아"""
36,한국핀테크지원센터(센터장 정유신) 주관 '코리아 핀테크 위크' 오...
37,"신용로 경조사비 송금, QR코드로 노점상·푸드트럭 결제"
38,FSC designates 9 fintech services for finance regulatory sandbo...
39," If you can’t beat them, collaborate wh them"
40,"정부 지원 빅데이터 매매 사업, 중소기업들 관심 '후끈'"
41," 미디움,고려대,후오비코리아,블룸테크놀로..."
42,"BC, 실물 없이 QR코드로만 결제"
43,"""빅데이터 싸게 쓰세요"" 소문 듣고 온 광주 기업들"
44,"금융규제 샌드박스 1호, 9건 대거 출격..""9월부터 은행에서 알뜰폰 ..."
45,FSC tries to soothe cred card sector reeling from transaction...
46," 업계, 해외시장·신사업으로 눈 돌린다"
47,"하나금융, 롯데 인수에 한 발짝 더…업계 지각변동 ‘예고’"
48,"'고급 데이터' 고픈 중소기업들, 부산에 모인 이유"
49,"'주52시간 근로' 시대, 일하는 방식 혁신하는 'RPA' 뜬다"
50, `IT혁신` 진행중
51, CIO클럽- 이정규  IT서비스본부장
52," 초개인화·DIY 금융 상품, 트렌드 주도"
53,IT 외주환경 어느 정도길래?..연이은 'IT 개발자 죽음' 청와대 국민...
54,지난해 4000억원 금융IT시장서 LG CNS·SK㈜ C&C 박빙
55,"깊어가는 '더스트 포비아' ""이불 밖은 위험해"""
56, 해외여행자보험 출국 때‘ON’ ...
57, ‘IT 서비스 관리 ISO 20000’ 인증
58,"Toss Card launched in Korea for online, offline purchases"
59,페이시장 춘추전국시대
60,빅데이터·해외시장 개척..수수료 의존도 뛰어넘기
61,은행에서 알뜰폰 구매 가능…혁신금융서비스 9건 지정
62,은행서 알뜰폰 개통...길거리 음식 먹고 QR코드로 결제한다
63," 규제벗어나는 첫 '혁신금융서비스' , 어떤 것이 선..."
64,"""밥 먹을 시간 없이 일해도 실적 압박"".. 죽음 부른 'IT 하청'"
65,"소비자 호감 키워드, 과장보단 진정성"
66,"""2030세대·1인 가구 잡아라""...편의점, 불붙은 서비스 경쟁"
67,수익성 하락에 우울한 KT 자회사...70%가 당기순이익 감소
68,김영치 별세·해원 기원 해수 익선 부친상·박두병 조영민 장...
69, 공유주방 시장 확장·우리은행 '드라이브스루'...
70,Seoul launches sandbox commtee for innovation
71,"산은, 차세대 시스템 1차 테스트 성공..5월 가동 '이상 無'"
72,"LG CNS, 20% 빨라진  IT시스템 조기 개통"
73,Korea's auto market feels heat from cred card issue
74, 'QR 결제' 시장 선점 나서
75,"스템소프트, 이기종 방화벽 통합관리시스템으로 외산 대체"
76,Hyundai Motor cuts ties wh 5 cred card firms amid dispute o...
77, IT 개발자가 명절을 싫어하는 이유
78,신학기 도서 준비는 G마켓-옥션에서.. 최대 69% 할인
79,업체소개-
80,사 CEO 위기탈출…변화 vs 안정 선택은
81,"BC, IT개발자 숨진 채 ‘발견’…과도한 업무 논란"
82," Grand vision aside, who pays for Zero Pay?"
83," 메리어트, '더블 테이크' 진행 外"
84, 악성 이메일 대응 모의훈련 서비스 무료 제공
85,국민에 농협IT '쏙'..금융 기술 공유시대
86,"""재해·재난에도 업무중단 없다"".., 사업연속성관리 국제인..."
87," ""현대중공업의 대우조선 인수, 왜 반대하는 거죠?"""
88," Hyundai, Shinhan reach deal on commission fees"
89,"지마켓-옥션, 도서·e교육상품 할인 판매"
90,"한은-금결원, 전자금융 사업 '짬짜미' 논란..금융권 불만 폭발"
91, 환 BC 대표이사 사장
92,"Pollution changes how we shop, live and eat"
93," , 금융·IT 융합…모바일 강자"
94,"eWBM 오상근 대표 ""파이도 기술 보급의 원년으로 삼을 것"""
95,"OK저축은행, 300억 안팎 차세대시스템 추진"
96,"BC, Hyundai Motor agree on card transaction fee"
97,"KT- ""수수료, IT·금융 융합에서 길을 찾다"""
98,제로페이가 성공할 수 없는 이유 
99," 단일 서명 시스템 도입으로 관리 편의성, 보안 문..."
100,IT서비스 '빅3' 인사 마무리..'성과보상' 핵심
101,"최대 성수기 졸업·입학 시즌 ""노트북 사기 딱 좋은 봄이네"""
102,"한화생명 보험코어 1차, SI 3사 제안 안할 듯"
103," “투유뱅크 제로페이, 경남BC 간편결제 이용하..."
104,"㈜, IT 운영 배치작업 관리 9월 2일 채용 마감"
105, Innovation Leader - 윤병한  CTO
106,"반복된 규제완화 '당근', 이번엔 실효성 얻을까"
107, Going walletless: Korea's mobile payment market di...
108,네이버 빠진 제3인터넷銀 설명회..보험·은행·사들 '눈치작전'...
109,"G마켓-옥션, 신학기 도서 준비... 최대 69% 할인"
110,"G마켓·옥션, 도서와 e교육 상품 최대 69% 할인 프로모션"
111,", 차세대 ‘정보전략계획’ 추진 예고"
112,"BC, 하청업체 처우개선 ‘나몰라’"
113,", 마케팅·경영관리·IT 등 신입"
114," `기간계 메인프레임으로 교체"""
115,카카오 알림톡 100억건 넘나..'2천만 고객' 신한 내주 합류
116,"서준희  대표 ""금융·IT 융합 시너지 제고에 총력"""
117,"KT 황창규 회장, 경영전략데이서 5G 선도 위해 역량 총집결 강조"
118,IT와 만난 `의 미래`
119,"KT, '플랫폼전략·그룹시너지'로..5G 1등 목표"
120," 엎친 데 덮친 엔비디아, 암호화폐 몰락에 '집단소송..."
121, Case Study -  X인터넷 기반 사용자 화면 통합시...
122,KT그룹사 모여 '글로벌 5G 1위' 결의 다졌다
123,"KT 그룹사, 5G 필승 결의 다짐..'경영전략 데이' 개최"
124,"""5G 플랫폼 글로벌 1등 도약.. KT 그룹사 역량 단단히 꿰자"""
125,"""5G 플랫폼 1등 거머쥐자""..KT그룹사 경영전략 데이"
126,"KT그룹, 경영전략 데이 통해 5G 1등 도약 다짐"
127,"KT ""글로벌 5G 플랫폼 1등 달성 위해 그룹 역량 총집결"""
128,"KT, 그룹사 경영전략 데이 개최..'5G 시대 필승' 결의"
129,“금융 클라우드 大戰 본격 열리나”
130,"KT 그룹사, 새로운 5G 시대 준비..역량 총집결 결의"
131,"투이컨설팅,  상대 소송 추진…금융IT분야 대기업 대상 소..."
132,"LG CNS,  주전산시스템 교체 완료"
133,"LGCNS,  주전산교체 넉달만에 조기성공"
134,"LG CNS,  주전산시스템 조기 개통 성공"
135,", 주전산시스템 교체 완료…LG CNS 프로젝트 기간 단축"
136,
137,빗장 풀린 금융 클라우드 시장…업계 총공세 시작되나
138," 주전산 시스템 교체 사업… LG CNS,4개월만에 조기개통 성공"
139,"KT, 상반기 채용도 5G에 포커스"
140,"LG CNS,  주전산시스템 조기개통 완료"
141,"LG CNS,  주전산시스템 조기 개통"
142,"KG그룹, ICT부문장 신설..고규영 부회장 선임"
143,"핀테크 업계·금융권, 모바일 플랫폼 전략 닮은꼴"
144, 전자서명법 개정에 따른 미래 전망
145,QR코드로 물건만 산다?.. 출석체크도 하고 아파트 문도 연다
146, 공항·호텔 어디서든 '신기술' 체험..관광...
147,"신한·롯데·BC, 내일부터 'QR페이' 간편결제 서비스 개시"
148," 변화 택한 QR페이, 신용 대체 가능성은 '글쎄'"
149," , 환 대표 체제 첫 국세청 세무조사"
150, Case Study -  X인터넷 기반 사용자 화면 통합시...
151,KT그룹사 모여 '글로벌 5G 1위' 결의 다졌다
152,"KT 그룹사, 5G 필승 결의 다짐..'경영전략 데이' 개최"
153,"""5G 플랫폼 글로벌 1등 도약.. KT 그룹사 역량 단단히 꿰자"""
154,"""5G 플랫폼 1등 거머쥐자""..KT그룹사 경영전략 데이"
155,"KT그룹, 경영전략 데이 통해 5G 1등 도약 다짐"
156,"KT ""글로벌 5G 플랫폼 1등 달성 위해 그룹 역량 총집결"""
157,"KT, 그룹사 경영전략 데이 개최..'5G 시대 필승' 결의"
158,“금융 클라우드 大戰 본격 열리나”
159,"KT 그룹사, 새로운 5G 시대 준비..역량 총집결 결의"
160,"투이컨설팅,  상대 소송 추진…금융IT분야 대기업 대상 소..."
161,"LG CNS,  주전산시스템 교체 완료"
162,"LGCNS,  주전산교체 넉달만에 조기성공"
163,"LG CNS,  주전산시스템 조기 개통 성공"
164,", 주전산시스템 교체 완료…LG CNS 프로젝트 기간 단축"
165,
166,빗장 풀린 금융 클라우드 시장…업계 총공세 시작되나
167," 주전산 시스템 교체 사업… LG CNS,4개월만에 조기개통 성공"
168,"KT, 상반기 채용도 5G에 포커스"
169,"LG CNS,  주전산시스템 조기개통 완료"
170,"LG CNS,  주전산시스템 조기 개통"
171,"KG그룹, ICT부문장 신설..고규영 부회장 선임"
