,0
0,"카카오페이, 사업 확대 “ 혁신에 기여”"
1,"이인재 카드 부사장 ""코스트코 뺏겼지만...어려울 때 진짜 실력 나타난다..."
2,도입 6개월만에 안착 연 2만4000시간 절약
3,핀테크 행사 깜짝 강연자로 나선 원기찬 카드 사장
4, QLED 8K TV로 미술대회 심사한다
5,", RPA 정착으로  혁신 가속화"
6," 현  사장, 글로벌 일류 도약 ‘5대 플랜’ 정조..."
7,"""우리가 남이가?"" , 전자-제일기획 팔고 ‘바이오’는 ‘사자..."
8,", 1분기 순익 4473억원…전년 대비 14.7%↑"
9," , 로봇 프로세스 자동화로 업무시간 단축 外 신한카..."
10,"카카오페이, 사업 확대 “ 혁신에 기여”"
11,"이인재 카드 부사장 ""코스트코 뺏겼지만...어려울 때 진짜 실력 나타난다..."
12,도입 6개월만에 안착 연 2만4000시간 절약
13,핀테크 행사 깜짝 강연자로 나선 원기찬 카드 사장
14, QLED 8K TV로 미술대회 심사한다
15,", RPA 정착으로  혁신 가속화"
16," 현  사장, 글로벌 일류 도약 ‘5대 플랜’ 정조..."
17,"""우리가 남이가?"" , 전자-제일기획 팔고 ‘바이오’는 ‘사자..."
18,", 1분기 순익 4473억원…전년 대비 14.7%↑"
19," , 로봇 프로세스 자동화로 업무시간 단축 外 신한카..."
20,"카카오페이, 사업 확대 “ 혁신에 기여”"
21,"이인재 카드 부사장 ""코스트코 뺏겼지만...어려울 때 진짜 실력 나타난다..."
22,도입 6개월만에 안착 연 2만4000시간 절약
23,핀테크 행사 깜짝 강연자로 나선 원기찬 카드 사장
24, QLED 8K TV로 미술대회 심사한다
25,", RPA 정착으로  혁신 가속화"
26," 현  사장, 글로벌 일류 도약 ‘5대 플랜’ 정조..."
27,"""우리가 남이가?"" , 전자-제일기획 팔고 ‘바이오’는 ‘사자..."
28,", 1분기 순익 4473억원…전년 대비 14.7%↑"
29," , 로봇 프로세스 자동화로 업무시간 단축 外 신한카..."
30,"카카오페이, 사업 확대 “ 혁신에 기여”"
31,"이인재 카드 부사장 ""코스트코 뺏겼지만...어려울 때 진짜 실력 나타난다..."
32,도입 6개월만에 안착 연 2만4000시간 절약
33,핀테크 행사 깜짝 강연자로 나선 원기찬 카드 사장
34, QLED 8K TV로 미술대회 심사한다
35,", RPA 정착으로  혁신 가속화"
36," 현  사장, 글로벌 일류 도약 ‘5대 플랜’ 정조..."
37,"""우리가 남이가?"" , 전자-제일기획 팔고 ‘바이오’는 ‘사자..."
38,", 1분기 순익 4473억원…전년 대비 14.7%↑"
39," , 로봇 프로세스 자동화로 업무시간 단축 外 신한카..."
40,"카카오페이, 사업 확대 “ 혁신에 기여”"
41,"이인재 카드 부사장 ""코스트코 뺏겼지만...어려울 때 진짜 실력 나타난다..."
42,도입 6개월만에 안착 연 2만4000시간 절약
43,핀테크 행사 깜짝 강연자로 나선 원기찬 카드 사장
44, QLED 8K TV로 미술대회 심사한다
45,", RPA 정착으로  혁신 가속화"
46," 현  사장, 글로벌 일류 도약 ‘5대 플랜’ 정조..."
47,"""우리가 남이가?"" , 전자-제일기획 팔고 ‘바이오’는 ‘사자..."
48,", 1분기 순익 4473억원…전년 대비 14.7%↑"
49," , 로봇 프로세스 자동화로 업무시간 단축 外 신한카..."
50,"카카오페이, 사업 확대 “ 혁신에 기여”"
51,"이인재 카드 부사장 ""코스트코 뺏겼지만...어려울 때 진짜 실력 나타난다..."
52,도입 6개월만에 안착 연 2만4000시간 절약
53,핀테크 행사 깜짝 강연자로 나선 원기찬 카드 사장
54, QLED 8K TV로 미술대회 심사한다
55,", RPA 정착으로  혁신 가속화"
56," 현  사장, 글로벌 일류 도약 ‘5대 플랜’ 정조..."
57,"""우리가 남이가?"" , 전자-제일기획 팔고 ‘바이오’는 ‘사자..."
58,", 1분기 순익 4473억원…전년 대비 14.7%↑"
59," , 로봇 프로세스 자동화로 업무시간 단축 外 신한카..."
60,"카카오페이, 사업 확대 “ 혁신에 기여”"
61,"이인재 카드 부사장 ""코스트코 뺏겼지만...어려울 때 진짜 실력 나타난다..."
